order_Id,user,item_Id,nbr_of_units,date_time,amount
1,user2999,506,9,07:16:46,758.2948375814271
2,user2692,58,8,23:11:00,577.0413537506575
2,user2692,823,9,23:11:00,589.5020986247125
3,user1773,118,9,09:11:48,248.72018768679715
4,user2780,175,10,08:37:39,816.1061303418456
4,user2780,342,7,08:37:39,505.2592052897943
4,user2780,129,9,08:37:39,740.6020263842503
4,user2780,382,1,08:37:39,63.05082821304199
4,user2780,441,6,08:37:39,103.75983013990512
5,user204,760,5,21:09:29,43.42425021889008
5,user204,620,8,21:09:29,313.7039173177656
6,user724,987,3,00:40:17,243.65521090907532
7,user1478,605,8,13:19:48,600.4944691329682
7,user1478,415,1,13:19:48,64.49172658267065
7,user1478,729,5,13:19:48,236.47731528258942
7,user1478,980,10,13:19:48,634.4440056346442
8,user1829,316,9,22:43:06,454.29951722973
8,user1829,551,8,22:43:06,459.80672759178873
8,user1829,450,7,22:43:06,261.1988882775759
8,user1829,65,3,22:43:06,204.3638825124749
9,user1824,759,6,08:38:46,88.35699455845605
9,user1824,348,6,08:38:46,185.48350915216298
10,user1611,605,3,19:21:55,225.18542592486307
10,user1611,334,10,19:21:55,180.93209515181624
10,user1611,293,10,19:21:55,209.19076012393776
11,user1436,368,10,10:23:11,491.30262088305767
12,user1130,928,10,03:42:56,339.1523940485214
12,user1130,446,5,03:42:56,228.76062066285135
13,user1339,506,2,01:43:06,168.5099639069838
14,user240,859,9,12:49:51,377.16106785445527
14,user240,401,7,12:49:51,571.8329743234572
14,user240,125,5,12:49:51,343.67503392278053
14,user240,752,4,12:49:51,339.8288299744086
14,user240,743,10,12:49:51,390.4082445178306
15,user376,48,2,02:54:19,116.08441550767097
15,user376,363,3,02:54:19,62.03502187310771
15,user376,454,2,02:54:19,177.09719093161837
16,user363,572,5,20:39:29,385.27520511939935
16,user363,902,1,20:39:29,80.99697314086379
16,user363,302,9,20:39:29,795.3234255557543
16,user363,368,7,20:39:29,343.9118346181404
17,user356,880,8,18:42:41,716.035245387706
18,user1607,178,1,02:49:20,59.59213262855145
18,user1607,51,2,02:49:20,5.055959321176087
18,user1607,441,5,02:49:20,86.46652511658759
18,user1607,129,1,02:49:20,82.28911404269448
18,user1607,692,10,02:49:20,844.2041089305649
19,user396,304,5,23:36:29,322.36188066676334
20,user857,669,7,17:45:58,130.73830310378557
20,user857,430,8,17:45:58,139.80738303752443
20,user857,153,5,17:45:58,331.66313500159174
21,user399,472,2,05:37:47,70.80020119123881
21,user399,799,9,05:37:47,625.3424945494501
21,user399,250,4,05:37:47,344.0425148824867
21,user399,177,8,05:37:47,159.23166886005097
22,user1915,796,6,20:12:32,521.5128943686208
22,user1915,631,1,20:12:32,22.643074862384992
22,user1915,489,9,20:12:32,299.7191314325457
22,user1915,821,5,20:12:32,264.80238809540646
22,user1915,634,4,20:12:32,33.134365959649244
23,user1260,747,5,08:51:23,436.93674641960513
23,user1260,269,3,08:51:23,255.7884850047726
23,user1260,513,4,08:51:23,182.09690669240712
24,user2337,657,9,06:16:10,414.63984290821276
25,user1149,371,7,01:05:11,263.75889362904195
25,user1149,862,9,01:05:11,30.185080081156652
25,user1149,906,4,01:05:11,113.34255650498926
25,user1149,584,7,01:05:11,327.06595190815955
26,user346,334,2,16:23:58,36.18641903036325
26,user346,448,9,16:23:58,581.2152472493407
26,user346,637,8,16:23:58,442.54021060954653
26,user346,398,7,16:23:58,64.41820742660654
27,user354,343,10,16:55:56,838.7999870085315
27,user354,975,10,16:55:56,320.23404647094696
27,user354,751,8,16:55:56,554.0535161897236
28,user1496,285,2,18:22:07,77.54750338546026
28,user1496,202,10,18:22:07,400.0096321810835
28,user1496,799,6,18:22:07,416.8949963663
29,user1848,366,2,15:49:28,87.10061435584933
30,user2634,891,9,15:17:11,401.23316780156046
30,user2634,39,9,15:17:11,120.0781250082019
30,user2634,649,4,15:17:11,295.6825199529585
30,user2634,60,1,15:17:11,47.13126542766906
30,user2634,401,3,15:17:11,245.07127471005305
31,user2878,32,7,08:26:38,411.1971519251573
31,user2878,504,6,08:26:38,99.58258655224968
31,user2878,736,2,08:26:38,57.4530774202065
31,user2878,537,9,08:26:38,782.2606035552673
31,user2878,130,10,08:26:38,496.2424954809589
32,user2080,642,3,23:11:07,146.86658167541253
33,user828,131,3,15:01:48,64.72940532087334
34,user2233,689,7,15:13:25,237.29566818120387
34,user2233,523,10,15:13:25,661.9118140374314
34,user2233,741,9,15:13:25,390.0505893781834
34,user2233,158,10,15:13:25,717.3523385861478
35,user1759,327,7,22:37:08,294.9110857745312
35,user1759,224,4,22:37:08,362.8467094410936
35,user1759,673,9,22:37:08,770.2850712874681
36,user846,654,9,17:04:37,464.28560865924993
37,user1524,64,5,22:02:47,389.9001000487323
37,user1524,484,2,22:02:47,50.59438870442163
37,user1524,179,5,22:02:47,365.51798406550944
37,user1524,966,9,22:02:47,553.8741220178653
38,user2452,250,4,19:00:37,344.0425148824867
38,user2452,525,7,19:00:37,113.15894029710635
38,user2452,760,10,19:00:37,86.84850043778016
38,user2452,90,4,19:00:37,9.024112435376429
38,user2452,879,7,19:00:37,397.69995285916724
39,user350,276,7,19:35:15,169.99322009067131
39,user350,569,8,19:35:15,684.4805967797192
39,user350,681,10,19:35:15,878.7705781007058
40,user2970,171,9,19:51:14,98.14269678458795
40,user2970,983,3,19:51:14,272.2092549992915
40,user2970,104,3,19:51:14,242.47749554814857
40,user2970,968,10,19:51:14,700.9715394014868
40,user2970,653,7,19:51:14,393.04071108688396
41,user2471,974,8,02:23:23,497.3571742893318
41,user2471,242,3,02:23:23,217.94918214421816
41,user2471,978,8,02:23:23,467.73584893008615
41,user2471,69,3,02:23:23,38.3206752093684
42,user58,75,8,09:03:25,387.94472985783733
42,user58,755,3,09:03:25,240.53514872003296
42,user58,492,7,09:03:25,586.4834563200864
42,user58,456,3,09:03:25,202.21058200993565
43,user262,803,4,11:31:01,347.4908328165937
43,user262,593,3,11:31:01,54.56567564880595
43,user262,421,8,11:31:01,94.95002036363054
44,user1778,211,7,13:33:19,355.8798898182771
44,user1778,751,8,13:33:19,554.0535161897236
44,user1778,950,1,13:33:19,60.38501104184292
44,user1778,82,8,13:33:19,176.23552605924374
44,user1778,907,1,13:33:19,65.34078226059633
45,user2651,577,3,09:56:11,235.33870386397987
45,user2651,694,7,09:56:11,174.99112768095404
46,user1136,577,1,01:06:09,78.44623462132662
46,user1136,231,5,01:06:09,251.18093568067854
46,user1136,329,3,01:06:09,49.01427815885184
47,user46,574,1,12:51:01,12.357087155756954
48,user1919,535,6,06:48:07,418.57819234293436
48,user1919,269,3,06:48:07,255.7884850047726
48,user1919,724,3,06:48:07,99.4456217484057
48,user1919,298,2,06:48:07,25.568701473114857
49,user2789,875,5,07:28:21,206.42331378036926
49,user2789,670,2,07:28:21,116.13128874258422
49,user2789,333,5,07:28:21,55.3144952130463
50,user1815,173,4,17:11:01,160.01070041727064
50,user1815,125,3,17:11:01,206.20502035366832
50,user1815,36,10,17:11:01,240.43792697048514
51,user1717,51,8,01:18:05,20.22383728470435
51,user1717,521,4,01:18:05,44.9140871933615
52,user507,246,7,02:08:50,588.6310970919067
52,user507,409,10,02:08:50,312.50436677495213
53,user1202,634,1,09:21:42,8.283591489912311
53,user1202,143,3,09:21:42,215.49647903873057
54,user1599,389,9,11:42:45,660.9001211852053
54,user1599,249,4,11:42:45,92.35656726905947
55,user1732,868,4,15:13:28,276.30719922993353
55,user1732,989,4,15:13:28,128.608180154972
55,user1732,524,7,15:13:28,117.31103552528208
56,user1366,897,8,21:00:48,190.26607183395978
56,user1366,92,4,21:00:48,176.82422712428013
56,user1366,936,5,21:00:48,439.4407387139526
56,user1366,591,1,21:00:48,7.623512021995875
57,user991,123,1,02:18:47,75.42720606582003
58,user2702,381,1,19:14:30,46.42856651722053
58,user2702,11,3,19:14:30,13.210867137574217
58,user2702,893,6,19:14:30,512.3697651294887
58,user2702,207,3,19:14:30,184.94587851164118
58,user2702,430,10,19:14:30,174.75922879690555
59,user2899,604,10,14:57:27,139.6047632769409
59,user2899,986,1,14:57:27,65.0173981306045
59,user2899,369,10,14:57:27,402.98532191859414
59,user2899,988,8,14:57:27,18.087304796408247
59,user2899,250,9,14:57:27,774.0956584855951
60,user1717,575,8,03:57:05,719.3805166635436
60,user1717,315,8,03:57:05,151.0149011577039
60,user1717,831,8,03:57:05,708.8199236780877
60,user1717,25,7,03:57:05,315.81310161250815
60,user1717,89,1,03:57:05,40.66173486961795
61,user171,161,8,12:43:09,660.7124559547735
61,user171,927,5,12:43:09,89.25516384731881
61,user171,543,9,12:43:09,632.2481401412831
61,user171,694,3,12:43:09,74.99619757755173
62,user663,935,8,18:51:49,442.1677164692021
62,user663,498,9,18:51:49,607.8364207497685
63,user1725,91,10,02:45:25,614.2476717380115
63,user1725,607,7,02:45:25,466.76475602908727
63,user1725,498,3,02:45:25,202.61214024992285
63,user1725,502,6,02:45:25,445.2465690722961
63,user1725,915,3,02:45:25,11.223396488485058
64,user386,152,9,15:06:20,234.21374392115135
64,user386,389,9,15:06:20,660.9001211852053
64,user386,879,9,15:06:20,511.32851081892926
64,user386,402,4,15:06:20,143.7964157185703
64,user386,651,4,15:06:20,40.89277499534938
65,user553,450,7,03:49:43,261.1988882775759
65,user553,21,9,03:49:43,262.55220621236947
65,user553,405,1,03:49:43,10.289747756755958
65,user553,124,3,03:49:43,135.19449935868494
65,user553,139,2,03:49:43,10.66597124856015
66,user1580,770,3,16:59:45,166.314468117128
66,user1580,74,5,16:59:45,249.08080884438033
66,user1580,315,2,16:59:45,37.75372528942597
66,user1580,821,5,16:59:45,264.80238809540646
67,user1200,449,10,09:22:27,91.46036742786991
67,user1200,674,4,09:22:27,308.394090770024
67,user1200,278,6,09:22:27,378.8671120367749
67,user1200,141,1,09:22:27,54.78630323488827
68,user965,527,9,18:15:29,812.2424692954502
68,user965,741,9,18:15:29,390.0505893781834
68,user965,546,3,18:15:29,33.99291537179697
68,user965,498,6,18:15:29,405.2242804998457
69,user2706,933,5,02:55:20,198.13577664661236
69,user2706,997,5,02:55:20,49.68215187839736
69,user2706,169,8,02:55:20,403.2504871531678
69,user2706,542,1,02:55:20,78.93408680673627
69,user2706,233,1,02:55:20,55.99081702657463
70,user1528,31,9,13:40:13,590.9210025197513
70,user1528,453,8,13:40:13,249.77085690567068
70,user1528,391,2,13:40:13,62.41250272521289
71,user1441,970,1,21:08:07,23.158282855832553
71,user1441,224,2,21:08:07,181.4233547205468
71,user1441,861,2,21:08:07,52.11253075130382
71,user1441,807,8,21:08:07,408.49696621256265
72,user2190,118,5,22:46:16,138.17788204822062
72,user2190,907,8,22:46:16,522.7262580847706
72,user2190,303,7,22:46:16,260.87140775735
73,user2364,695,5,13:26:13,330.28577253480313
73,user2364,315,9,13:26:13,169.89176380241688
73,user2364,358,2,13:26:13,28.084100969496262
74,user2073,460,8,23:22:31,643.338113840076
74,user2073,384,8,23:22:31,590.9048568976451
74,user2073,249,8,23:22:31,184.71313453811894
75,user2412,900,6,04:48:18,499.40873255028794
75,user2412,141,8,04:48:18,438.2904258791062
75,user2412,688,5,04:48:18,445.9266048611531
75,user2412,870,1,04:48:18,65.48401072941266
76,user2826,696,9,00:48:58,52.79728817826086
76,user2826,859,5,00:48:58,209.5339265858085
76,user2826,942,8,00:48:58,366.26037183020344
76,user2826,242,2,00:48:58,145.2994547628121
76,user2826,85,7,00:48:58,68.24271141683563
77,user139,575,7,13:33:57,629.4579520806006
77,user139,67,8,13:33:57,240.24072229913597
78,user387,557,6,15:16:28,198.31520827024386
78,user387,587,8,15:16:28,628.6853176367645
79,user1075,842,10,22:55:36,268.70682738129864
79,user1075,88,7,22:55:36,475.66869995825095
80,user1801,399,7,10:53:23,8.290555459458067
80,user1801,666,10,10:53:23,806.6214511865218
81,user440,162,6,08:28:41,191.55752749365263
81,user440,9,5,08:28:41,117.52331494148274
81,user440,963,10,08:28:41,883.9591284284455
81,user440,162,2,08:28:41,63.852509164550874
82,user1034,821,9,05:00:04,476.6442985717316
82,user1034,973,1,05:00:04,14.385671999847736
83,user2656,10,5,03:37:09,184.16214789830246
84,user844,263,4,23:48:08,147.16899548272332
84,user844,921,7,23:48:08,233.0890524382147
84,user844,397,8,23:48:08,272.25986106867015
84,user844,734,5,23:48:08,312.2518701068755
84,user844,623,7,23:48:08,208.31278387652688
85,user1087,56,8,13:05:19,217.00645007708601
85,user1087,772,3,13:05:19,218.30260771645231
85,user1087,707,5,13:05:19,162.50200715428136
86,user2371,97,9,06:10:33,540.3196884156457
86,user2371,861,5,06:10:33,130.28132687825956
87,user2914,473,9,03:52:24,178.34261561952843
87,user2914,697,3,03:52:24,159.9739638069133
87,user2914,419,2,03:52:24,39.73813925359926
87,user2914,753,7,03:52:24,46.78004950211408
87,user2914,48,3,03:52:24,174.12662326150644
88,user1307,327,6,12:49:27,252.7809306638839
88,user1307,323,7,12:49:27,8.856097400813274
89,user2963,896,2,20:17:38,85.70931341611339
89,user2963,532,7,20:17:38,226.60943073344478
90,user1966,681,2,03:14:01,175.75411562014116
91,user1925,438,5,10:37:29,330.0543758763415
91,user1925,102,9,10:37:29,589.3754108612957
91,user1925,709,10,10:37:29,131.86643597551
91,user1925,311,2,10:37:29,104.41995659394615
91,user1925,772,1,10:37:29,72.76753590548411
92,user440,63,9,11:57:18,585.0495545328201
93,user1640,927,3,16:22:13,53.55309830839129
93,user1640,687,4,16:22:13,350.79797781789813
93,user1640,860,10,16:22:13,739.1293440309864
94,user2297,39,8,01:50:15,106.73611111840168
94,user2297,712,9,01:50:15,156.73386063247267
95,user1633,143,10,11:20:50,718.3215967957686
96,user434,942,5,00:42:18,228.91273239387715
96,user434,41,9,00:42:18,392.4651428572671
96,user434,751,5,00:42:18,346.28344761857727
97,user56,115,7,01:01:10,439.4322422791011
97,user56,246,1,01:01:10,84.09015672741523
97,user56,179,5,01:01:10,365.51798406550944
97,user56,192,10,01:01:10,420.13294344004123
98,user1310,897,9,12:10:50,214.04933081320476
98,user1310,881,10,12:10:50,733.9680309753405
98,user1310,599,10,12:10:50,43.6207060513673
99,user2355,572,8,23:34:16,616.4403281910389
99,user2355,854,9,23:34:16,575.1091212838984
99,user2355,870,9,23:34:16,589.3560965647139
100,user2593,860,7,13:48:58,517.3905408216905
100,user2593,714,4,13:48:58,67.93563270667028
101,user1614,577,10,20:33:32,784.4623462132663
101,user1614,84,3,20:33:32,180.25208673106744
101,user1614,333,8,20:33:32,88.50319234087408
101,user1614,645,3,20:33:32,263.7361560553171
102,user1496,508,5,23:25:45,63.49382420649001
102,user1496,96,3,23:25:45,216.6645001447726
102,user1496,264,9,23:25:45,728.5962435616225
102,user1496,304,2,23:25:45,128.94475226670534
102,user1496,627,2,23:25:45,137.2704698083361
103,user1379,967,2,10:57:34,38.03140996224688
104,user2718,349,9,15:54:17,50.258911488389415
104,user2718,812,9,15:54:17,332.7265972255308
105,user1614,920,9,07:44:46,587.7986538235964
105,user1614,544,3,07:44:46,88.24552133276583
